report_id,site,narrative
OIL-2026-00029,Pipeline Sector 4,Small localized smoldering fire observed during Hydrocarbon Leaks hot work. Extinguished immediately with local fire watch.
OIL-2026-00030,Offshore Platform Alpha,"Catastrophic failure of lifting gear during Electrical Hazards. 5-ton load dropped 10 meters, striking teh deck less than 2 meters from teh rigging crew."
OIL-2026-00031,Offshore Platform Alpha,"Crane slewed unexpectedly during Excavation, load swung over the pedestrian walkway. Exclusion zone was active, no personnel exposed. It was raining heavily at the time."
OIL-2026-00032,Refinery Unit B,Trench collapsed during Confined Space excavation. Worker was partially buried up to the waist. Rescue team deployed.
OIL-2026-00033,Pipeline Sector 4,Worker bypassed machine guard during Minor maintenance issues to clear a jam. Equipment was still energized. Intervened and applied LOTO.
OIL-2026-00034,Pipeline Sector 4,The gauge looked weird during Hot Work. We left it alone.
OIL-2026-00035,Offshore Platform Alpha,"Vehicle struck a pedestrian crossing the yard during Energy Isolation / LOTO. Severe trauma sustained, medevac initiated."
OIL-2026-00036,Pipeline Sector 4,Worker observed not wearing full PPE during Gas Releases in the safe zone. Reminded and complied.
OIL-2026-00037,Offshore Platform Alpha,Someone said the pressure was high during Dropped Objects. Need to investigate further.
OIL-2026-00038,Offshore Platform Alpha,Worker observed not wearing full PPE during PPE observations in the safe zone. Reminded and complied. (Note: Please fix the AC in the control room it is too hot).
OIL-2026-00039,Pipeline Sector 4,Worker fell 5 meters during Excavation because harness lanyard snapped. Rushed to medical bay with suspected fractures.
OIL-2026-00040,Pipeline Sector 4,Arc flash occurred during Dropped Objects in the main switchgear room. Technician suffered severe electrical burns to face and hands. The shift was almost over.
OIL-2026-00041,Offshore Platform Alpha,Slight trip hazard identified at PPE observations location due to uneven grating. Marked with high-viz tape. Radio comms were a bit staticky.
OIL-2026-00042,Maintenance Yard,"While performing PPE observations, a heavy wrench slipped and struck teh scaffolding tube near teh worker's head. Near miss."
OIL-2026-00043,Refinery Unit B,Minor oil weepage noticed on valve body during Housekeeping. Cleaned and tightened. (Note: Please fix teh AC in teh control room it is too hot).
OIL-2026-00044,Maintenance Yard,The gauge looked weird during Confined Space. We left it alone.
OIL-2026-00045,Maintenance Yard,Received report of incident during Routine inspections. Could not verify details.
OIL-2026-00046,Refinery Unit B,Contractor found entering restricted Gas Releases area without a valid permit. Escorted out and work stopped.
OIL-2026-00047,Offshore Platform Alpha,Routine Lifting Operations completed without any safety incidents.
OIL-2026-00048,Refinery Unit B,Found some fluid on teh deck near Routine inspections. Not sure if water or oil.
OIL-2026-00049,Terminal Operations,Scaffold tag was red but workers were seen preparing for Lifting Operations on it. Intervened before access.
OIL-2026-00050,Drilling Rig Delta,Contractor reminded to use three points of contact on stairs near Electrical Hazards unit.
OIL-2026-00051,Refinery Unit B,Contractor found entering restricted PPE observations area without a valid permit. Escorted out and work stopped.
OIL-2026-00052,Drilling Rig Delta,Contractor reminded to use three points of contact on stairs near Hot Work unit. Radio comms were a bit staticky.
OIL-2026-00053,Offshore Platform Alpha,Contractor reminded to use three points of contact on stairs near Chemical Exposure unit.
OIL-2026-00054,Refinery Unit B,Contractor dropped something during Overpressure. Didn't see what it was.
OIL-2026-00055,Pipeline Sector 4,"During Chemical Exposure, LEL alarms triggered at 10%. Work stopped and area ventilated."
OIL-2026-00056,Refinery Unit B,"Hydraulic hose burst during Hot Work, spraying fluid across the deck. Operator was wearing face shield, no injury."
OIL-2026-00057,Terminal Operations,"During Fire, LEL alarms triggered at 10%. Work stopped and area ventilated."
OIL-2026-00058,Offshore Platform Alpha,Major hydrocarbon gas release during Energy Isolation / LOTO. Cloud drifted towards hot work area. Emergency shutdown activated immediately.
OIL-2026-00059,Refinery Unit B,Fire extinguisher tag missing in the PPE observations zone. Replaced by safety officer.
OIL-2026-00060,Pipeline Sector 4,Arc flash occurred during Dropped Objects in the main switchgear room. Technician suffered severe electrical burns to face and hands. We had a safety meeting about this just yesterday.
OIL-2026-00061,Offshore Platform Alpha,Major hydrocarbon gas release during Excavation. Cloud drifted towards hot work area. Emergency shutdown activated immediately. The contractor was late to the shift.
OIL-2026-00062,Terminal Operations,Worker fell 5 meters during Excavation because harness lanyard snapped. Rushed to medical bay with suspected fractures.
OIL-2026-00063,Terminal Operations,Worker fell 5 meters during Excavation because harness lanyard snapped. Rushed to medical bay with suspected fractures. The supervisor was not present.
OIL-2026-00064,Maintenance Yard,Major hydrocarbon gas release during Chemical Exposure. Cloud drifted towards hot work area. Emergency shutdown activated immediately.
OIL-2026-00065,Maintenance Yard,Worker observed not wearing full PPE during Working at Height in the safe zone. Reminded and complied.
OIL-2026-00066,Terminal Operations,"Catastrophic failure of lifting gear during Chemical Exposure. 5-ton load dropped 10 meters, striking the deck less than 2 meters from the rigging crew. The shift was almost over."
OIL-2026-00067,Terminal Operations,Worker observed not wearing full PPE during Housekeeping in the safe zone. Reminded and complied.
OIL-2026-00068,Drilling Rig Delta,Received report of incident during Overpressure. Could not verify details.
OIL-2026-00069,Terminal Operations,Scaffold tag was red but workers were seen preparing for Vehicle Movement on it. Intervened before access.
OIL-2026-00070,Terminal Operations,Contractor found entering restricted Hot Work area without a valid permit. Escorted out and work stopped.
OIL-2026-00071,Pipeline Sector 4,Contractor reminded to use three points of contact on stairs near Hydrocarbon Leaks unit. The shift was almost over.
OIL-2026-00072,Terminal Operations,Contractor found entering restricted Dropped Objects area without a valid permit. Escorted out and work stopped.
OIL-2026-00073,Pipeline Sector 4,Completed daily Overpressure checks. All parameters normal.
OIL-2026-00074,Drilling Rig Delta,Contractor reminded to use three points of contact on stairs near Vehicle Movement unit.
OIL-2026-00075,Terminal Operations,Someone said the pressure was high during Confined Space. Need to investigate further.
OIL-2026-00076,Refinery Unit B,The gauge looked weird during Excavation. We left it alone.
OIL-2026-00077,Pipeline Sector 4,"Worker reported feeling unwell after Excavation. Might be related, might be food poisoning."
OIL-2026-00078,Pipeline Sector 4,Walkway obstructed by empty pallets near Minor maintenance issues area. Removed by housekeeping.
OIL-2026-00079,Pipeline Sector 4,Contractor dropped something during Working at Height. Didn't see what it was.
OIL-2026-00080,Offshore Platform Alpha,"Worker reported feeling unwell after Housekeeping. Might be related, might be food poisoning. The supervisor was not present."
OIL-2026-00081,Pipeline Sector 4,Contractor reminded to use three points of contact on stairs near Electrical Hazards unit.
OIL-2026-00082,Refinery Unit B,Small localized smoldering fire observed during Housekeeping hot work. Extinguished immediately with local fire watch.
OIL-2026-00083,Drilling Rig Delta,Worker bypassed machine guard during Simultaneous Operations to clear a jam. Equipment was still energized. Intervened and applied LOTO.
OIL-2026-00084,Offshore Platform Alpha,Slight trip hazard identified at Housekeeping location due to uneven grating. Marked with high-viz tape.
OIL-2026-00085,Offshore Platform Alpha,Contractor found entering restricted Excavation area without a valid permit. Escorted out and work stopped.
OIL-2026-00086,Offshore Platform Alpha,"Worker reported feeling unwell after Excavation. Might be related, might be food poisoning."
OIL-2026-00087,Pipeline Sector 4,Contractor reminded to use three points of contact on stairs near Gas Releases unit.
OIL-2026-00088,Pipeline Sector 4,"During routine Minor maintenance issues inspection, noticed minor debris which was cleared immediately."
OIL-2026-00089,Pipeline Sector 4,Routine Fire completed without any safety incidents.
OIL-2026-00090,Pipeline Sector 4,"Crane slewed unexpectedly during PPE observations, load swung over the pedestrian walkway. Exclusion zone was active, no personnel exposed."
OIL-2026-00091,Refinery Unit B,The gauge looked weird during Gas Releases. We left it alone.
OIL-2026-00092,Maintenance Yard,Trench collapsed during Lifting Operations excavation. Worker was partially buried up to the waist. Rescue team deployed.
OIL-2026-00093,Pipeline Sector 4,"Hydraulic hose burst during Working at Height, spraying fluid across the deck. Operator was wearing face shield, no injury."
OIL-2026-00094,Terminal Operations,"Worker reported feeling unwell after Chemical Exposure. Might be related, might be food poisoning."
OIL-2026-00095,Terminal Operations,Major hydrocarbon gas release during Process Upsets. Cloud drifted towards hot work area. Emergency shutdown activated immediately.
OIL-2026-00096,Terminal Operations,"Catastrophic failure of lifting gear during Simultaneous Operations. 5-ton load dropped 10 meters, striking teh deck less than 2 meters from teh rigging crew."
OIL-2026-00097,Offshore Platform Alpha,Contractor dropped something during Confined Space. Didn't see what it was.
OIL-2026-00098,Pipeline Sector 4,"Catastrophic failure of lifting gear during Vehicle Movement. 5-ton load dropped 10 meters, striking the deck less than 2 meters from the rigging crew."
OIL-2026-00099,Terminal Operations,"Crane slewed unexpectedly during Minor maintenance issues, load swung over the pedestrian walkway. Exclusion zone was active, no personnel exposed."
OIL-2026-00100,Refinery Unit B,The gauge looked weird during Routine inspections. We left it alone.
OIL-2026-00101,Pipeline Sector 4,Trench collapsed during Hot Work excavation. Worker was partially buried up to the waist. Rescue team deployed. Radio comms were a bit staticky.
OIL-2026-00102,Refinery Unit B,Worker observed not wearing full PPE during Vehicle Movement in the safe zone. Reminded and complied.
OIL-2026-00103,Maintenance Yard,Contractor dropped something during Hydrocarbon Leaks. Didn't see what it was.
OIL-2026-00104,Maintenance Yard,Trench collapsed during Fire excavation. Worker was partially buried up to the waist. Rescue team deployed.
OIL-2026-00105,Terminal Operations,Small localized smoldering fire observed during Working at Height hot work. Extinguished immediately with local fire watch.
OIL-2026-00106,Drilling Rig Delta,"During Electrical Hazards, LEL alarms triggered at 10%. Work stopped and area ventilated."
OIL-2026-00107,Maintenance Yard,Slight trip hazard identified at PPE observations location due to uneven grating. Marked with high-viz tape.
OIL-2026-00108,Pipeline Sector 4,Worker observed not wearing full PPE during Excavation in the safe zone. Reminded and complied.
OIL-2026-00109,Refinery Unit B,Scaffold tag was red but workers were seen preparing for Process Upsets on it. Intervened before access. We had a safety meeting about this just yesterday.
OIL-2026-00110,Terminal Operations,Handrail paint was peeling near the Chemical Exposure sector. Maintenance request submitted.
OIL-2026-00111,Refinery Unit B,"Crane slewed unexpectedly during Housekeeping, load swung over the pedestrian walkway. Exclusion zone was active, no personnel exposed. The shift was almost over."
OIL-2026-00112,Refinery Unit B,Worker bypassed machine guard during Simultaneous Operations to clear a jam. Equipment ws still energized. Intervened and applied LOTO.
OIL-2026-00113,Maintenance Yard,Routine Excavation completed without any safety incidents.
OIL-2026-00114,Terminal Operations,Scaffold tag was red but workers were seen preparing for Overpressure on it. Intervened before access.
OIL-2026-00115,Drilling Rig Delta,Walkway obstructed by empty pallets near Hot Work area. Removed by housekeeping.
OIL-2026-00116,Maintenance Yard,The gauge looked weird during Vehicle Movement. We left it alone.
OIL-2026-00117,Terminal Operations,"Crane slewed unexpectedly during Hot Work, load swung over the pedestrian walkway. Exclusion zone was active, no personnel exposed."
OIL-2026-00118,Maintenance Yard,"Loud bang heard near PPE observations unit, but no damage found and no one saw anything."
OIL-2026-00119,Pipeline Sector 4,Slight trip hazard identified at Lifting Operations location due to uneven grating. Marked with high-viz tape. It was raining heavily at the time.
OIL-2026-00120,Pipeline Sector 4,Minor oil weepage noticed on valve body during Gas Releases. Cleaned and tightened.
OIL-2026-00121,Drilling Rig Delta,"Worker reported feeling unwell after Confined Space. Might be related, might be food poisoning."
OIL-2026-00122,Refinery Unit B,Contractor dropped something during Lifting Operations. Didn't see what it was.
OIL-2026-00123,Maintenance Yard,Found some fluid on the deck near Overpressure. Not sure if water or oil.
OIL-2026-00124,Terminal Operations,Routine Electrical Hazards completed without any safety incidents.
OIL-2026-00125,Refinery Unit B,"Hydraulic hose burst during Energy Isolation / LOTO, spraying fluid across the deck. Operator was wearing face shield, no injury."
OIL-2026-00126,Refinery Unit B,Minor oil weepage noticed on valve body during Confined Space. Cleaned and tightened.
OIL-2026-00127,Refinery Unit B,The gauge looked weird during Electrical Hazards. We left it alone.
OIL-2026-00128,Drilling Rig Delta,Slight trip hazard identified at Hydrocarbon Leaks location due to uneven grating. Marked with high-viz tape. The supervisor was not present.
OIL-2026-00129,Terminal Operations,Small localized smoldering fire observed during Vehicle Movement hot work. Extinguished immediately with local fire watch. The supervisor was not present.
OIL-2026-00130,Maintenance Yard,"Catastrophic failure of lifting gear during Confined Space. 5-ton load dropped 10 meters, striking the deck less than 2 meters from the rigging crew. Radio comms were a bit staticky."
OIL-2026-00131,Pipeline Sector 4,"Catastrophic failure of lifting gear during Electrical Hazards. 5-ton load dropped 10 meters, striking the deck less than 2 meters from the rigging crew."
OIL-2026-00132,Offshore Platform Alpha,Trench collapsed during Housekeeping excavation. Worker ws partially buried up to teh waist. Rescue team deployed.
OIL-2026-00133,Drilling Rig Delta,Trench collapsed during Gas Releases excavation. Worker ws partially buried up to teh waist. Rescue team deployed.
OIL-2026-00134,Drilling Rig Delta,Trench collapsed during Minor maintenance issues excavation. Worker was partially buried up to the waist. Rescue team deployed.
OIL-2026-00135,Maintenance Yard,"Catastrophic failure of lifting gear during Minor maintenance issues. 5-ton load dropped 10 meters, striking the deck less than 2 meters from the rigging crew."
OIL-2026-00136,Pipeline Sector 4,"During Chemical Exposure, LEL alarms triggered at 10%. Work stopped and area ventilated."
OIL-2026-00137,Offshore Platform Alpha,Major hydrocarbon gas release during Simultaneous Operations. Cloud drifted towards hot work area. Emergency shutdown activated immediately.
OIL-2026-00138,Pipeline Sector 4,Arc flash occurred during Gas Releases in the main switchgear room. Technician suffered severe electrical burns to face and hands.
OIL-2026-00139,Terminal Operations,"Catastrophic failure of lifting gear during PPE observations. 5-ton load dropped 10 meters, striking the deck less than 2 meters from the rigging crew."
OIL-2026-00140,Drilling Rig Delta,Contractor dropped something during Process Upsets. Didn't see what it was.
OIL-2026-00141,Pipeline Sector 4,Arc flash occurred during Electrical Hazards in the main switchgear room. Technician suffered severe electrical burns to face and hands. (Note: Please fix the AC in the control room it is too hot).
OIL-2026-00142,Terminal Operations,"Crane slewed unexpectedly during Energy Isolation / LOTO, load swung over the pedestrian walkway. Exclusion zone was active, no personnel exposed."
OIL-2026-00143,Terminal Operations,Worker observed not wearing full PPE during Simultaneous Operations in the safe zone. Reminded and complied. The supervisor was not present.
OIL-2026-00144,Offshore Platform Alpha,Small localized smoldering fire observed during PPE observations hot work. Extinguished immediately with local fire watch. The contractor was late to the shift.
OIL-2026-00145,Drilling Rig Delta,Worker bypassed machine guard during Lifting Operations to clear a jam. Equipment was still energized. Intervened and applied LOTO.
OIL-2026-00146,Pipeline Sector 4,Slight trip hazard identified at Simultaneous Operations location due to uneven grating. Marked with high-viz tape.
OIL-2026-00147,Offshore Platform Alpha,Found some fluid on the deck near Routine inspections. Not sure if water or oil.
OIL-2026-00148,Offshore Platform Alpha,Handrail paint was peeling near the Overpressure sector. Maintenance request submitted.
OIL-2026-00149,Refinery Unit B,Completed daily Hydrocarbon Leaks checks. All parameters normal.
OIL-2026-00150,Pipeline Sector 4,Handrail paint was peeling near the Simultaneous Operations sector. Maintenance request submitted.
OIL-2026-00151,Pipeline Sector 4,Walkway obstructed by empty pallets near Gas Releases area. Removed by housekeeping.
OIL-2026-00152,Pipeline Sector 4,Received report of incident during Overpressure. Could not verify details.
OIL-2026-00153,Maintenance Yard,Slight trip hazard identified at Lifting Operations location due to uneven grating. Marked with high-viz tape.
OIL-2026-00154,Refinery Unit B,Slight trip hazard identified at Hot Work location due to uneven grating. Marked with high-viz tape. I didn't have my glasses on but I saw it happen.
OIL-2026-00155,Terminal Operations,Worker observed not wearing full PPE during Lifting Operations in the safe zone. Reminded and complied.
OIL-2026-00156,Maintenance Yard,"Hydraulic hose burst during Process Upsets, spraying fluid across the deck. Operator was wearing face shield, no injury."
OIL-2026-00157,Offshore Platform Alpha,Slight trip hazard identified at Gas Releases location due to uneven grating. Marked with high-viz tape.
OIL-2026-00158,Offshore Platform Alpha,"Loud bang heard near Hydrocarbon Leaks unit, but no damage found and no one saw anything."
OIL-2026-00159,Offshore Platform Alpha,Arc flash occurred during Hot Work in the main switchgear room. Technician suffered severe electrical burns to face and hands. Radio comms were a bit staticky.
OIL-2026-00160,Refinery Unit B,Routine Energy Isolation / LOTO completed without any safety incidents.
OIL-2026-00161,Pipeline Sector 4,"During Minor maintenance issues, LEL alarms triggered at 10%. Work stopped and area ventilated. The contractor was late to the shift."
OIL-2026-00162,Pipeline Sector 4,Worker bypassed machine guard during Excavation to clear a jam. Equipment was still energized. Intervened and applied LOTO.
OIL-2026-00163,Pipeline Sector 4,Contractor found entering restricted Electrical Hazards area without a valid permit. Escorted out and work stopped.
OIL-2026-00164,Terminal Operations,Worker fell 5 meters during PPE observations because harness lanyard snapped. Rushed to medical bay with suspected fractures. We had a safety meeting about this just yesterday.
OIL-2026-00165,Pipeline Sector 4,Contractor found entering restricted Overpressure area without a valid permit. Escorted out and work stopped.
OIL-2026-00166,Terminal Operations,Worker fell 5 meters during Hot Work because harness lanyard snapped. Rushed to medical bay with suspected fractures.
OIL-2026-00167,Terminal Operations,"Catastrophic failure of lifting gear during Hydrocarbon Leaks. 5-ton load dropped 10 meters, striking the deck less than 2 meters from the rigging crew."
OIL-2026-00168,Terminal Operations,Found some fluid on the deck near Energy Isolation / LOTO. Not sure if water or oil.
OIL-2026-00169,Refinery Unit B,Trench collapsed during Excavation excavation. Worker was partially buried up to the waist. Rescue team deployed.
OIL-2026-00170,Terminal Operations,"Hydraulic hose burst during Lifting Operations, spraying fluid across the deck. Operator was wearing face shield, no injury."
OIL-2026-00171,Terminal Operations,Trench collapsed during Energy Isolation / LOTO excavation. Worker was partially buried up to the waist. Rescue team deployed.
OIL-2026-00172,Terminal Operations,Minor oil weepage noticed on valve body during Overpressure. Cleaned and tightened.
OIL-2026-00173,Pipeline Sector 4,"During Chemical Exposure, LEL alarms triggered at 10%. Work stopped and area ventilated."
OIL-2026-00174,Pipeline Sector 4,"Vehicle struck a pedestrian crossing the yard during Hydrocarbon Leaks. Severe trauma sustained, medevac initiated."
OIL-2026-00175,Pipeline Sector 4,Worker fell 5 meters during Lifting Operations because harness lanyard snapped. Rushed to medical bay with suspected fractures.
OIL-2026-00176,Maintenance Yard,Major hydrocarbon gas release during PPE observations. Cloud drifted towards hot work area. Emergency shutdown activated immediately. The shift ws almost over.
OIL-2026-00177,Pipeline Sector 4,The gauge looked weird during Fire. We left it alone.
OIL-2026-00178,Maintenance Yard,"Catastrophic failure of lifting gear during Fire. 5-ton load dropped 10 meters, striking the deck less than 2 meters from the rigging crew."
OIL-2026-00179,Offshore Platform Alpha,Major hydrocarbon gas release during PPE observations. Cloud drifted towards hot work area. Emergency shutdown activated immediately.
OIL-2026-00180,Offshore Platform Alpha,Contractor found entering restricted Electrical Hazards area without a valid permit. Escorted out and work stopped.
OIL-2026-00181,Refinery Unit B,Arc flash occurred during Hydrocarbon Leaks in the main switchgear room. Technician suffered severe electrical burns to face and hands. The supervisor was not present.
OIL-2026-00182,Refinery Unit B,Contractor reminded to use three points of contact on stairs near Fire unit.
OIL-2026-00183,Terminal Operations,Arc flash occurred during Hot Work in the main switchgear room. Technician suffered severe electrical burns to face and hands.
OIL-2026-00184,Terminal Operations,"Loud bang heard near Fire unit, but no damage found and no one saw anything."
OIL-2026-00185,Offshore Platform Alpha,Found some fluid on the deck near Fire. Not sure if water or oil.
OIL-2026-00186,Offshore Platform Alpha,Worker observed not wearing full PPE during Vehicle Movement in the safe zone. Reminded and complied.
OIL-2026-00187,Refinery Unit B,"While performing Routine inspections, a heavy wrench slipped and struck the scaffolding tube near the worker's head. Near miss. We had a safety meeting about this just yesterday."
OIL-2026-00188,Maintenance Yard,"Catastrophic failure of lifting gear during Vehicle Movement. 5-ton load dropped 10 meters, striking the deck less than 2 meters from the rigging crew."
OIL-2026-00189,Maintenance Yard,Someone said the pressure was high during Excavation. Need to investigate further.
OIL-2026-00190,Offshore Platform Alpha,"Loud bang heard near Lifting Operations unit, but no damage found and no one saw anything."
OIL-2026-00191,Offshore Platform Alpha,"During Working at Height, LEL alarms triggered at 10%. Work stopped and area ventilated. The supervisor was not present."
OIL-2026-00192,Drilling Rig Delta,"Loud bang heard near Energy Isolation / LOTO unit, but no damage found and no one saw anything."
OIL-2026-00193,Pipeline Sector 4,Contractor dropped something during Electrical Hazards. Didn't see what it was.
OIL-2026-00194,Drilling Rig Delta,"While performing Routine inspections, a heavy wrench slipped and struck the scaffolding tube near the worker's head. Near miss."
OIL-2026-00195,Pipeline Sector 4,"While performing Electrical Hazards, a heavy wrench slipped and struck the scaffolding tube near the worker's head. Near miss. I didn't have my glasses on but I saw it happen."
OIL-2026-00196,Refinery Unit B,Worker bypassed machine guard during Simultaneous Operations to clear a jam. Equipment was still energized. Intervened and applied LOTO. The contractor was late to the shift.
OIL-2026-00197,Terminal Operations,Found some fluid on the deck near Chemical Exposure. Not sure if water or oil.
OIL-2026-00198,Pipeline Sector 4,Contractor reminded to use three points of contact on stairs near Routine inspections unit.
OIL-2026-00199,Maintenance Yard,Contractor dropped something during Hot Work. Didn't see what it was.
OIL-2026-00200,Terminal Operations,Small localized smoldering fire observed during Vehicle Movement hot work. Extinguished immediately with local fire watch.
OIL-2026-00201,Terminal Operations,Arc flash occurred during Process Upsets in the main switchgear room. Technician suffered severe electrical burns to face and hands.
OIL-2026-00202,Offshore Platform Alpha,"During Fire, LEL alarms triggered at 10%. Work stopped and area ventilated."
OIL-2026-00203,Maintenance Yard,Arc flash occurred during Confined Space in the main switchgear room. Technician suffered severe electrical burns to face and hands. We had a safety meeting about this just yesterday.
OIL-2026-00204,Terminal Operations,Found some fluid on the deck near PPE observations. Not sure if water or oil.
OIL-2026-00205,Terminal Operations,"Vehicle struck a pedestrian crossing the yard during Overpressure. Severe trauma sustained, medevac initiated. Radio comms were a bit staticky."
OIL-2026-00206,Offshore Platform Alpha,"Loud bang heard near Housekeeping unit, but no damage found and no one saw anything. I didn't have my glasses on but I saw it happen."
OIL-2026-00207,Pipeline Sector 4,Handrail paint was peeling near the PPE observations sector. Maintenance request submitted. Radio comms were a bit staticky.
OIL-2026-00208,Maintenance Yard,Trench collapsed during Routine inspections excavation. Worker was partially buried up to the waist. Rescue team deployed.
OIL-2026-00209,Terminal Operations,"Catastrophic failure of lifting gear during Chemical Exposure. 5-ton load dropped 10 meters, striking the deck less than 2 meters from the rigging crew. Radio comms were a bit staticky."
OIL-2026-00210,Drilling Rig Delta,Found some fluid on teh deck near Lifting Operations. Not sure if water or oil.
OIL-2026-00211,Pipeline Sector 4,"Hydraulic hose burst during Working at Height, spraying fluid across the deck. Operator was wearing face shield, no injury."
OIL-2026-00212,Maintenance Yard,Handrail paint was peeling near the Dropped Objects sector. Maintenance request submitted.
OIL-2026-00213,Terminal Operations,"During Energy Isolation / LOTO, LEL alarms triggered at 10%. Work stopped and area ventilated. It was raining heavily at the time."
OIL-2026-00214,Refinery Unit B,Slight trip hazard identified at Overpressure location due to uneven grating. Marked with high-viz tape.
OIL-2026-00215,Drilling Rig Delta,Major hydrocarbon gas release during Hot Work. Cloud drifted towards hot work area. Emergency shutdown activated immediately.
OIL-2026-00216,Offshore Platform Alpha,Contractor found entering restricted Housekeeping area without a valid permit. Escorted out and work stopped. The shift was almost over.
OIL-2026-00217,Terminal Operations,"Loud bang heard near Hydrocarbon Leaks unit, but no damage found and no one saw anything."
OIL-2026-00218,Pipeline Sector 4,Slight trip hazard identified at Working at Height location due to uneven grating. Marked with high-viz tape.
OIL-2026-00219,Pipeline Sector 4,Scaffold tag was red but workers were seen preparing for Excavation on it. Intervened before access. It was raining heavily at the time.
OIL-2026-00220,Drilling Rig Delta,Trench collapsed during Gas Releases excavation. Worker was partially buried up to the waist. Rescue team deployed.
OIL-2026-00221,Maintenance Yard,Fire extinguisher tag missing in the Hot Work zone. Replaced by safety officer. We had a safety meeting about this just yesterday.
OIL-2026-00222,Pipeline Sector 4,Worker observed not wearing full PPE during Fire in the safe zone. Reminded and complied.
OIL-2026-00223,Terminal Operations,"Hydraulic hose burst during Housekeeping, spraying fluid across the deck. Operator was wearing face shield, no injury."
OIL-2026-00224,Maintenance Yard,Received report of incident during Dropped Objects. Could not verify details.
OIL-2026-00225,Refinery Unit B,Someone said the pressure was high during Fire. Need to investigate further.
OIL-2026-00226,Drilling Rig Delta,Someone said the pressure was high during Lifting Operations. Need to investigate further. Lunch had just finished.
OIL-2026-00227,Pipeline Sector 4,"Worker reported feeling unwell after Simultaneous Operations. Might be related, might be food poisoning."
OIL-2026-00228,Refinery Unit B,Scaffold tag was red but workers were seen preparing for Minor maintenance issues on it. Intervened before access.
